Id,Month_Year,Price,Open,High,Low,Vol.,Change_%
1,01/1990,329.08,353.40,360.59,319.83,-,-6.88
2,02/1990,331.89,329.08,336.09,322.10,-,0.85
3,03/1990,339.94,331.89,344.49,331.08,-,2.43
4,04/1990,330.80,339.94,347.30,327.76,-,-2.69
5,05/1990,361.23,330.80,362.26,330.80,-,9.2
6,06/1990,358.02,361.26,368.78,351.23,-,-0.89
7,07/1990,356.15,358.02,369.78,350.09,-,-0.52
8,08/1990,322.56,356.15,357.35,306.18,-,-9.43
9,09/1990,306.05,322.56,326.53,295.98,-,-5.12
10,10/1990,304.00,306.10,319.69,294.51,-,-0.67
11,11/1990,322.22,303.99,323.02,301.61,-,5.99
12,12/1990,330.22,322.23,333.98,321.97,-,2.48
13,01/1991,343.93,330.20,343.93,309.35,-,4.15
14,02/1991,367.07,343.91,370.96,340.37,-,6.73
15,03/1991,375.22,367.07,379.66,363.73,-,2.22
16,04/1991,375.34,375.22,391.26,370.27,-,0.03
17,05/1991,389.83,375.35,389.85,365.83,-,3.86
18,06/1991,371.16,389.81,389.81,367.98,-,-4.79
19,07/1991,387.81,371.18,387.81,370.92,-,4.49
20,08/1991,395.43,387.81,396.82,374.09,-,1.96
21,09/1991,387.86,395.43,397.62,382.77,-,-1.91
22,10/1991,392.45,387.86,393.81,376.11,-,1.18
23,11/1991,375.22,392.46,398.22,371.63,-,-4.39
24,12/1991,417.09,375.11,418.32,371.36,-,11.16
25,01/1992,408.78,417.03,421.18,408.64,-,-1.99
26,02/1992,412.70,408.79,418.08,406.34,-,0.96
27,03/1992,403.69,412.68,413.78,401.94,-,-2.18
28,04/1992,414.95,403.67,416.28,392.41,-,2.79
29,05/1992,415.35,414.95,418.75,409.85,-,0.1
30,06/1992,408.14,415.35,417.30,399.92,-,-1.74
31,07/1992,424.21,408.20,424.80,407.20,-,3.94
32,08/1992,414.03,424.19,425.14,408.30,-,-2.4
33,09/1992,417.80,414.03,425.27,412.71,-,0.91
34,10/1992,418.68,417.80,421.16,396.80,-,0.21
35,11/1992,431.35,418.66,431.93,415.58,-,3.03
36,12/1992,435.71,431.35,442.65,428.61,-,1.01
37,01/1993,438.78,435.70,442.66,426.88,-,0.7
38,02/1993,443.38,438.78,450.04,428.25,-,1.05
39,03/1993,451.67,443.38,456.76,441.07,-,1.87
40,04/1993,440.19,451.67,452.63,432.30,-,-2.54
41,05/1993,450.19,440.19,454.55,436.86,-,2.27
42,06/1993,450.53,450.23,455.63,442.50,-,0.08
43,07/1993,448.13,450.54,451.15,441.40,-,-0.53
44,08/1993,463.56,448.13,463.56,446.94,-,3.44
45,09/1993,458.93,463.55,463.80,449.64,-,-1
46,10/1993,467.83,458.93,471.10,456.40,-,1.94
47,11/1993,461.79,467.83,469.11,454.36,-,-1.29
48,12/1993,466.45,461.93,471.29,461.45,-,1.01
49,01/1994,481.61,466.51,482.85,464.36,-,3.25
50,02/1994,467.14,481.60,482.23,464.26,-,-3
51,03/1994,445.77,467.19,471.09,436.16,-,-4.57
52,04/1994,450.91,445.66,452.79,435.86,-,1.15
53,05/1994,456.50,450.91,457.77,440.78,-,1.24
54,06/1994,444.27,456.50,463.23,439.83,-,-2.68
55,07/1994,458.26,444.27,459.33,443.58,-,3.15
56,08/1994,475.49,458.28,477.59,456.08,-,3.76
57,09/1994,462.71,475.49,475.49,458.47,-,-2.69
58,10/1994,472.35,462.69,474.74,449.27,-,2.08
59,11/1994,453.69,472.26,472.26,444.18,-,-3.95
60,12/1994,459.27,453.55,462.73,442.88,-,1.23
61,01/1995,470.42,459.21,471.36,457.20,-,2.43
62,02/1995,487.39,470.42,489.19,469.29,-,3.61
63,03/1995,500.71,487.39,508.15,479.70,-,2.73
64,04/1995,514.71,500.70,515.29,500.20,-,2.8
65,05/1995,533.40,514.76,533.41,513.03,-,3.63
66,06/1995,544.75,533.40,551.07,526.00,-,2.13
67,07/1995,562.06,544.75,565.40,542.51,-,3.18
68,08/1995,561.88,562.06,565.62,553.04,-,-0.03
69,09/1995,584.41,561.88,587.61,561.01,-,4.01
70,10/1995,581.50,584.41,590.66,571.55,-,-0.5
71,11/1995,605.37,581.50,608.69,581.04,-,4.1
72,12/1995,615.93,605.37,622.88,605.05,-,1.74
73,01/1996,636.02,615.93,636.18,597.29,-,3.26
74,02/1996,640.43,636.02,664.23,633.71,-,0.69
75,03/1996,645.50,640.43,656.97,627.63,-,0.79
76,04/1996,654.17,645.50,656.68,624.14,-,1.34
77,05/1996,669.12,654.17,681.10,630.07,-,2.29
78,06/1996,670.63,669.12,680.32,658.75,-,0.23
79,07/1996,639.95,670.63,675.88,605.88,-,-4.57
80,08/1996,651.99,639.95,670.68,639.49,-,1.88
81,09/1996,687.33,651.99,690.88,643.97,-,5.42
82,10/1996,705.27,687.31,714.10,684.44,-,2.61
83,11/1996,757.02,705.27,762.12,701.30,-,7.34
84,12/1996,740.74,757.02,761.75,716.69,-,-2.15
85,01/1997,786.16,740.74,794.67,729.55,-,6.13
86,02/1997,790.82,786.16,817.68,773.43,-,0.59
87,03/1997,757.12,790.82,814.90,756.13,-,-4.26
88,04/1997,801.34,757.12,804.13,733.54,-,5.84
89,05/1997,848.28,801.34,851.87,793.21,-,5.86
90,06/1997,885.14,848.28,902.09,838.82,-,4.35
91,07/1997,954.31,885.14,957.73,884.54,-,7.81
92,08/1997,899.47,954.29,964.17,893.34,-,-5.75
93,09/1997,947.28,899.47,960.59,899.47,-,5.32
94,10/1997,914.62,947.28,983.12,855.27,-,-3.45
95,11/1997,955.40,914.62,964.55,900.61,-,4.46
96,12/1997,970.43,955.40,986.25,924.92,-,1.57
97,01/1998,980.28,970.43,992.65,912.83,-,1.02
98,02/1998,1049.34,980.28,1051.66,980.28,-,7.04
99,03/1998,1101.75,1049.34,1113.07,1030.87,-,4.99
100,04/1998,1111.75,1101.75,1132.98,1076.70,-,0.91
101,05/1998,1090.82,1111.75,1130.52,1074.39,-,-1.88
102,06/1998,1133.84,1090.82,1145.15,1074.67,-,3.94
103,07/1998,1120.67,1133.84,1190.58,1114.30,-,-1.16
104,08/1998,957.28,1120.67,1121.79,957.28,-,-14.58
105,09/1998,1017.01,957.28,1066.11,939.98,-,6.24
106,10/1998,1098.67,1017.01,1103.78,923.32,-,8.03
107,11/1998,1163.63,1098.67,1192.97,1098.67,-,5.91
108,12/1998,1229.23,1163.63,1244.93,1136.89,-,5.64
109,01/1999,1279.64,1229.23,1280.37,1205.46,-,4.1
110,02/1999,1238.33,1279.64,1283.84,1211.89,-,-3.23
111,03/1999,1286.37,1238.33,1323.82,1216.03,-,3.88
112,04/1999,1335.18,1286.37,1371.56,1282.56,-,3.79
113,05/1999,1301.84,1335.18,1375.98,1277.31,-,-2.5
114,06/1999,1372.71,1301.84,1372.93,1277.47,-,5.44
115,07/1999,1328.72,1372.71,1420.33,1328.49,-,-3.2
116,08/1999,1320.41,1328.72,1382.84,1267.73,-,-0.63
117,09/1999,1282.71,1320.41,1361.39,1256.26,-,-2.86
118,10/1999,1362.93,1282.71,1373.17,1233.70,-,6.25
119,11/1999,1388.91,1362.93,1425.31,1346.41,-,1.91
120,12/1999,1469.25,1388.91,1473.10,1387.38,-,5.78
121,01/2000,1394.46,1469.25,1478.00,1350.14,-,-5.09
122,02/2000,1366.42,1394.46,1444.55,1325.07,-,-2.01
123,03/2000,1498.58,1366.42,1552.87,1346.62,-,9.67
124,04/2000,1452.43,1498.58,1527.19,1339.40,-,-3.08
125,05/2000,1420.60,1452.43,1481.51,1361.09,-,-2.19
126,06/2000,1454.60,1420.60,1488.93,1420.60,-,2.39
127,07/2000,1430.83,1454.60,1517.32,1413.89,-,-1.63
128,08/2000,1517.68,1430.83,1525.21,1425.43,-,6.07
129,09/2000,1436.51,1517.68,1530.09,1419.44,-,-5.35
130,10/2000,1429.40,1436.52,1454.82,1305.79,-,-0.49
131,11/2000,1314.95,1429.40,1438.46,1294.90,-,-8.01
132,12/2000,1320.28,1314.95,1389.05,1254.07,-,0.41
133,01/2001,1366.01,1320.28,1383.37,1274.62,-,3.46
134,02/2001,1239.94,1366.01,1376.38,1215.44,-,-9.23
135,03/2001,1160.33,1239.94,1267.42,1081.19,-,-6.42
136,04/2001,1249.46,1160.33,1269.30,1091.99,-,7.68
137,05/2001,1255.82,1249.46,1315.93,1232.00,-,0.51
138,06/2001,1224.38,1255.82,1286.62,1203.03,-,-2.5
139,07/2001,1211.23,1224.42,1239.78,1165.54,-,-1.07
140,08/2001,1133.58,1211.23,1226.27,1124.87,-,-6.41
141,09/2001,1040.94,1133.58,1155.40,944.75,-,-8.17
142,10/2001,1059.78,1040.94,1110.61,1026.76,-,1.81
143,11/2001,1139.45,1059.78,1163.38,1054.31,-,7.52
144,12/2001,1148.08,1139.45,1173.62,1114.53,-,0.76
145,01/2002,1130.20,1148.08,1176.97,1081.66,-,-1.56
146,02/2002,1106.73,1130.20,1130.20,1074.36,-,-2.08
147,03/2002,1147.39,1106.73,1173.94,1106.73,-,3.67
148,04/2002,1076.92,1147.39,1147.84,1063.46,-,-6.14
149,05/2002,1067.14,1076.92,1106.59,1048.96,-,-0.91
150,06/2002,989.82,1067.14,1070.74,952.92,-,-7.25
151,07/2002,911.62,989.82,994.46,775.68,-,-7.9
152,08/2002,916.07,911.62,965.00,833.44,-,0.49
153,09/2002,815.28,916.07,924.02,800.20,-,-11
154,10/2002,885.76,815.28,907.44,768.63,-,8.64
155,11/2002,936.31,885.76,941.82,872.05,-,5.71
156,12/2002,879.82,936.31,954.28,869.45,-,-6.03
157,01/2003,855.70,879.82,935.05,840.34,-,-2.74
158,02/2003,841.15,855.70,864.64,806.29,-,-1.7
159,03/2003,848.18,841.15,895.90,788.90,-,0.84
160,04/2003,916.92,848.18,924.24,847.85,-,8.1
161,05/2003,963.59,916.92,965.38,902.83,-,5.09
162,06/2003,974.50,963.59,1015.33,963.59,-,1.13
163,07/2003,993.32,974.50,1015.41,962.10,-,1.93
164,08/2003,1008.01,990.31,1011.01,960.84,-,1.48
165,09/2003,995.97,1008.01,1040.29,990.36,-,-1.19
166,10/2003,1050.71,995.97,1053.79,995.97,-,5.5
167,11/2003,1058.20,1050.71,1063.65,1031.20,-,0.71
168,12/2003,1111.92,1058.20,1112.56,1053.41,-,5.08
169,01/2004,1131.13,1111.92,1155.38,1105.08,-,1.73
170,02/2004,1144.94,1131.13,1158.98,1124.44,-,1.22
171,03/2004,1126.21,1144.94,1163.23,1087.06,-,-1.64
172,04/2004,1107.30,1126.21,1150.57,1107.23,-,-1.68
173,05/2004,1120.68,1107.30,1127.74,1076.32,-,1.21
174,06/2004,1140.84,1120.68,1146.34,1113.32,-,1.8
175,07/2004,1101.72,1140.84,1140.84,1078.78,-,-3.43
176,08/2004,1104.24,1101.72,1109.68,1060.72,-,0.23
177,09/2004,1114.58,1104.24,1131.54,1099.11,-,0.94
178,10/2004,1130.20,1114.58,1142.05,1090.19,-,1.4
179,11/2004,1173.82,1130.20,1188.46,1127.53,-,3.86
180,12/2004,1211.92,1173.78,1217.33,1173.76,-,3.25
181,01/2005,1181.27,1211.92,1217.90,1163.75,-,-2.53
182,02/2005,1203.60,1181.27,1212.44,1180.95,-,1.89
183,03/2005,1180.59,1203.60,1229.11,1163.69,-,-1.91
184,04/2005,1156.85,1180.59,1191.88,1136.15,-,-2.01
185,05/2005,1191.50,1156.85,1199.56,1146.18,-,3
186,06/2005,1191.33,1191.50,1219.59,1188.30,-,-0.01
187,07/2005,1234.18,1191.33,1245.15,1183.55,-,3.6
188,08/2005,1220.33,1234.18,1245.86,1201.07,-,-1.12
189,09/2005,1228.81,1220.33,1243.13,1205.35,-,0.69
190,10/2005,1207.01,1228.81,1233.34,1168.20,-,-1.77
191,11/2005,1249.48,1207.01,1270.64,1201.07,-,3.52
192,12/2005,1248.29,1249.48,1275.80,1246.59,-,-0.1
193,01/2006,1280.08,1248.29,1294.90,1245.74,-,2.55
194,02/2006,1280.66,1280.08,1297.57,1253.61,-,0.05
195,03/2006,1294.83,1280.66,1310.88,1268.42,-,1.11
196,04/2006,1310.61,1302.88,1318.16,1280.74,-,1.22
197,05/2006,1270.09,1310.61,1326.70,1245.34,-,-3.09
198,06/2006,1270.20,1270.05,1290.68,1219.29,-,0.01
199,07/2006,1276.66,1270.06,1280.42,1224.54,-,0.51
200,08/2006,1303.82,1278.53,1306.74,1261.30,-,2.13
201,09/2006,1335.85,1303.80,1340.28,1290.93,-,2.46
202,10/2006,1377.94,1335.82,1389.45,1327.10,-,3.15
203,11/2006,1400.63,1377.76,1407.89,1360.98,-,1.65
204,12/2006,1418.30,1400.63,1431.81,1385.93,-,1.26
205,01/2007,1438.24,1418.03,1441.61,1403.97,-,1.41
