"Id","month_year","sp500_index","cpi_index","inflation_rate"
1,"01/1990",329.08,132.0,NULL
2,"02/1990",331.89,132.8,NULL
3,"03/1990",339.94,133.9,NULL
4,"04/1990",330.8,134.2,NULL
5,"05/1990",361.23,134.4,NULL
6,"06/1990",358.02,134.8,NULL
7,"07/1990",356.15,135.5,NULL
8,"08/1990",322.56,136.4,NULL
9,"09/1990",306.05,137.2,NULL
10,"10/1990",304.0,137.8,NULL
11,"11/1990",322.22,138.2,NULL
12,"12/1990",330.22,138.3,NULL
13,"01/1991",343.93,139.4,5.61
14,"02/1991",367.07,140.3,5.65
15,"03/1991",375.22,140.9,5.23
16,"04/1991",375.34,141.1,5.14
17,"05/1991",389.83,141.3,5.13
18,"06/1991",371.16,141.5,5.08
19,"07/1991",387.81,142.0,4.8
20,"08/1991",395.43,142.7,4.62
21,"09/1991",387.86,143.4,4.52
22,"10/1991",392.45,143.9,4.43
23,"11/1991",375.22,144.4,4.49
24,"12/1991",417.09,144.4,4.41
25,"01/1992",408.78,144.9,3.95
26,"02/1992",412.7,145.6,3.78
27,"03/1992",403.69,146.4,3.9
28,"04/1992",414.95,146.6,3.9
29,"05/1992",415.35,146.7,3.82
30,"06/1992",408.14,146.9,3.87
31,"07/1992",424.21,147.3,3.73
32,"08/1992",414.03,147.7,3.5
33,"09/1992",417.8,148.1,3.28
34,"10/1992",418.68,149.0,3.54
35,"11/1992",431.35,149.3,3.39
36,"12/1992",435.71,149.2,3.32
37,"01/1993",438.78,149.9,3.45
38,"02/1993",443.38,150.8,3.57
39,"03/1993",451.67,151.4,3.42
40,"04/1993",440.19,151.7,3.48
41,"05/1993",450.19,151.7,3.41
42,"06/1993",450.53,151.8,3.38
43,"07/1993",448.13,152.0,3.19
44,"08/1993",463.56,152.6,3.32
45,"09/1993",458.93,152.9,3.24
46,"10/1993",467.83,153.5,3.02
47,"11/1993",461.79,153.9,3.08
48,"12/1993",466.45,153.9,3.15
49,"01/1994",481.61,154.3,2.94
50,"02/1994",467.14,155.0,2.79
51,"03/1994",445.77,155.8,2.91
52,"04/1994",450.91,155.9,2.77
53,"05/1994",456.5,156.0,2.83
54,"06/1994",444.27,156.2,2.94
55,"07/1994",458.26,156.4,2.89
56,"08/1994",475.49,157.0,2.88
57,"09/1994",462.71,157.5,3.01
58,"10/1994",472.35,158.0,2.93
59,"11/1994",453.69,158.2,2.79
60,"12/1994",459.27,157.9,2.6
61,"01/1995",470.42,158.7,2.85
62,"02/1995",487.39,159.6,2.97
63,"03/1995",500.71,160.4,2.95
64,"04/1995",514.71,160.7,3.08
65,"05/1995",533.4,160.8,3.08
66,"06/1995",544.75,160.9,3.05
67,"07/1995",562.06,161.1,3.01
68,"08/1995",561.88,161.6,2.93
69,"09/1995",584.41,162.1,2.92
70,"10/1995",581.5,162.8,3.04
71,"11/1995",605.37,163.0,3.03
72,"12/1995",615.93,162.7,3.04
73,"01/1996",636.02,163.4,2.96
74,"02/1996",640.43,164.2,2.88
75,"03/1996",645.5,164.9,2.81
76,"04/1996",654.17,165.0,2.68
77,"05/1996",669.12,165.1,2.67
78,"06/1996",670.63,165.2,2.71
79,"07/1996",639.95,165.5,2.73
80,"08/1996",651.99,165.8,2.6
81,"09/1996",687.33,166.4,2.65
82,"10/1996",705.27,167.0,2.58
83,"11/1996",757.02,167.2,2.58
84,"12/1996",740.74,167.0,2.64
85,"01/1997",786.16,167.5,2.51
86,"02/1997",790.82,168.3,2.5
87,"03/1997",757.12,169.0,2.49
88,"04/1997",801.34,169.4,2.67
89,"05/1997",848.28,169.3,2.54
90,"06/1997",885.14,169.2,2.45
91,"07/1997",954.31,169.5,2.42
92,"08/1997",899.47,169.6,2.29
93,"09/1997",947.28,170.0,2.16
94,"10/1997",914.62,170.8,2.28
95,"11/1997",955.4,170.8,2.15
96,"12/1997",970.43,170.7,2.22
97,"01/1998",980.28,171.2,2.21
98,"02/1998",1049.34,172.1,2.26
99,"03/1998",1101.75,172.6,2.13
100,"04/1998",1111.75,173.0,2.13
101,"05/1998",1090.82,173.1,2.24
102,"06/1998",1133.84,173.0,2.27
103,"07/1998",1120.67,173.3,2.24
104,"08/1998",957.28,173.8,2.48
105,"09/1998",1017.01,174.2,2.47
106,"10/1998",1098.67,174.7,2.28
107,"11/1998",1163.63,174.8,2.34
108,"12/1998",1229.23,174.8,2.4
109,"01/1999",1279.64,175.3,2.39
110,"02/1999",1238.33,175.7,2.09
111,"03/1999",1286.37,176.2,2.09
112,"04/1999",1335.18,176.8,2.2
113,"05/1999",1301.84,176.6,2.02
114,"06/1999",1372.71,176.6,2.1
115,"07/1999",1328.72,176.9,2.08
116,"08/1999",1320.41,177.1,1.9
117,"09/1999",1282.71,177.7,2.01
118,"10/1999",1362.93,178.3,2.06
119,"11/1999",1388.91,178.4,2.06
120,"12/1999",1469.25,178.2,1.95
121,"01/2000",1394.46,178.8,2.0
122,"02/2000",1366.42,179.5,2.16
123,"03/2000",1498.58,180.5,2.44
124,"04/2000",1452.43,180.9,2.32
125,"05/2000",1420.6,180.9,2.43
126,"06/2000",1454.6,181.0,2.51
127,"07/2000",1430.83,181.3,2.49
128,"08/2000",1517.68,181.7,2.6
129,"09/2000",1436.51,182.3,2.59
130,"10/2000",1429.4,182.8,2.52
131,"11/2000",1314.95,183.0,2.58
132,"12/2000",1320.28,182.8,2.58
133,"01/2001",1366.01,183.5,2.63
134,"02/2001",1239.94,184.4,2.73
135,"03/2001",1160.33,185.3,2.66
136,"04/2001",1249.46,185.6,2.6
137,"05/2001",1255.82,185.5,2.54
138,"06/2001",1224.38,185.9,2.74
139,"07/2001",1211.23,186.2,2.7
140,"08/2001",1133.58,186.6,2.7
141,"09/2001",1040.94,187.1,2.63
142,"10/2001",1059.78,187.6,2.63
143,"11/2001",1139.45,188.1,2.79
144,"12/2001",1148.08,187.8,2.74
145,"01/2002",1130.2,188.2,2.56
146,"02/2002",1106.73,189.2,2.6
147,"03/2002",1147.39,189.8,2.43
148,"04/2002",1076.92,190.3,2.53
149,"05/2002",1067.14,190.2,2.53
150,"06/2002",989.82,190.1,2.29
151,"07/2002",911.62,190.3,2.2
152,"08/2002",916.07,191.0,2.36
153,"09/2002",815.28,191.3,2.24
154,"10/2002",885.76,191.8,2.24
155,"11/2002",936.31,191.8,1.97
156,"12/2002",879.82,191.4,1.92
157,"01/2003",855.7,191.8,1.91
158,"02/2003",841.15,192.5,1.74
159,"03/2003",848.18,193.0,1.69
160,"04/2003",916.92,193.1,1.47
161,"05/2003",963.59,193.2,1.58
162,"06/2003",974.5,193.0,1.54
163,"07/2003",993.32,193.2,1.52
164,"08/2003",1008.01,193.5,1.31
165,"09/2003",995.97,193.6,1.2
166,"10/2003",1050.71,194.3,1.3
167,"11/2003",1058.2,193.9,1.09
168,"12/2003",1111.92,193.6,1.15
169,"01/2004",1131.13,194.0,1.15
170,"02/2004",1144.94,194.9,1.25
171,"03/2004",1126.21,196.1,1.61
172,"04/2004",1107.3,196.5,1.76
173,"05/2004",1120.68,196.5,1.71
174,"06/2004",1140.84,196.6,1.88
175,"07/2004",1101.72,196.6,1.76
176,"08/2004",1104.24,196.8,1.71
177,"09/2004",1114.58,197.4,1.96
178,"10/2004",1130.2,198.2,2.01
179,"11/2004",1173.82,198.1,2.17
180,"12/2004",1211.92,197.8,2.17
181,"01/2005",1181.27,198.4,2.27
182,"02/2005",1203.6,199.5,2.36
183,"03/2005",1180.59,200.7,2.35
184,"04/2005",1156.85,200.9,2.24
185,"05/2005",1191.5,200.8,2.19
186,"06/2005",1191.33,200.6,2.06
187,"07/2005",1234.18,200.8,2.14
188,"08/2005",1220.33,201.0,2.13
189,"09/2005",1228.81,201.3,1.98
190,"10/2005",1207.01,202.3,2.07
191,"11/2005",1249.48,202.3,2.12
192,"12/2005",1248.29,202.1,2.17
193,"01/2006",1280.08,202.6,2.12
194,"02/2006",1280.66,203.6,2.06
195,"03/2006",1294.83,204.9,2.09
196,"04/2006",1310.61,205.5,2.29
197,"05/2006",1270.09,205.7,2.44
198,"06/2006",1270.2,205.9,2.67
199,"07/2006",1276.66,206.2,2.69
200,"08/2006",1303.82,206.7,2.84
201,"09/2006",1335.85,207.2,2.93
202,"10/2006",1377.94,207.8,2.72
203,"11/2006",1400.63,207.6,2.62
204,"12/2006",1418.3,207.3,2.57
205,"01/2007",1438.24,208.009,2.67
206,"02/2007",1406.82,209.112,2.71
207,"03/2007",1420.86,209.923,2.45
208,"04/2007",1482.37,210.311,2.34
209,"05/2007",1530.62,210.316,2.24
210,"06/2007",1503.35,210.474,2.26
211,"07/2007",1455.27,210.756,2.21
212,"08/2007",1473.99,211.111,2.13
213,"09/2007",1526.75,211.628,2.14
214,"10/2007",1549.38,212.318,2.17
215,"11/2007",1481.14,212.435,2.33
216,"12/2007",1468.36,212.356,2.44
217,"01/2008",1378.55,213.138,2.47
218,"02/2008",1330.63,213.866,2.27
219,"03/2008",1322.7,214.866,2.35
220,"04/2008",1385.59,215.059,2.26
221,"05/2008",1400.38,215.18,2.31
222,"06/2008",1280.0,215.553,2.44
223,"07/2008",1267.38,216.045,2.51
224,"08/2008",1282.83,216.476,2.54
225,"09/2008",1166.36,216.862,2.47
226,"10/2008",968.75,217.023,2.22
227,"11/2008",896.24,216.69,2.0
228,"12/2008",903.25,216.1,1.76
229,"01/2009",825.88,216.719,1.68
230,"02/2009",735.09,217.685,1.79
231,"03/2009",797.87,218.639,1.76
232,"04/2009",872.81,219.143,1.9
233,"05/2009",919.14,219.128,1.83
234,"06/2009",919.32,219.283,1.75
235,"07/2009",987.48,219.35,1.53
236,"08/2009",1020.62,219.596,1.44
237,"09/2009",1057.08,220.137,1.51
238,"10/2009",1036.19,220.731,1.71
239,"11/2009",1095.63,220.384,1.7
240,"12/2009",1115.1,220.025,1.82
241,"01/2010",1073.87,220.086,1.55
242,"02/2010",1104.49,220.602,1.34
243,"03/2010",1169.43,221.059,1.11
244,"04/2010",1186.69,221.166,0.92
245,"05/2010",1089.41,221.193,0.94
246,"06/2010",1030.71,221.265,0.91
247,"07/2010",1101.6,221.258,0.87
248,"08/2010",1049.33,221.551,0.89
249,"09/2010",1141.2,221.907,0.8
250,"10/2010",1183.26,222.079,0.61
251,"11/2010",1180.55,222.077,0.77
252,"12/2010",1257.64,221.795,0.8
253,"01/2011",1286.12,222.177,0.95
254,"02/2011",1327.22,223.011,1.09
255,"03/2011",1325.83,223.69,1.19
256,"04/2011",1363.61,224.118,1.33
257,"05/2011",1345.2,224.534,1.51
258,"06/2011",1320.64,224.891,1.65
259,"07/2011",1292.28,225.164,1.77
260,"08/2011",1218.89,225.874,1.95
261,"09/2011",1131.42,226.289,1.97
262,"10/2011",1253.3,226.743,2.1
